"_id","CODI_ENS","NOM_ENS","ANY","MES","COMARCA","PROVINCIA","CENS","PAGINA","NOMBRE_DE_PAGINES_VISUALITZADES","NOMBRE_DE_PAGINES_VISUALITZADES_UNIQUES","TEMPS_MITJA_A_LA_PAGINA","ENTRADES","PERCENTATGE_DE_REBOTS","PERCENTATGE_DE_SORTIDES"
"103160","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/informacio-de-les-campanyes-institucionals","1","1","0","0","0","0"
"103161","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/liquidacio-del-pressupost","1","1","0","0","0","0"
"103162","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/liquidacio-del-pressupost/despeses-per-programa","2","1","0","0","0","0"
"103163","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/modificacio-de-pressupostos","6","1","0","0","0","0"
"103164","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/pressupost","7","1","0","0","0","0"
"103165","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/gestio-economica/pressupost/pressupost/despeses-per-programa","18","1","0","0","0","0"
"103166","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa","39","1","0","0","0","0"
"103167","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics","1","1","0","0","0","0"
"103168","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics/convenis-acords-pactes-de-caracter-funcionarial-laboral-o-sindical","1","1","0","0","0","0"
"103169","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics/convocatories-de-personal","26","1","0","0","0","0"
"103170","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics/plantilla-empleats-publics","7","1","0","0","0","0"
"103171","805430008","Ajuntament de Castellbisbal","2024","1","Vallès Occidental","Barcelona","1253","/ca/web/castellbisbal/govern-obert-i-transparencia/informacio-institucional-i-organitzativa/empleats-publics/relacio-de-llocs-de-treball-rlt","4","1","0","0","0","0"
